feature,coefficient
female,2.03
Mrs.,1.1
"Fare (50, 60]",0.83
"Fare (90, 100]",0.54
Cherbourg,0.46
"Fare (120, 140]",0.34
"Fare (80, 90]",0.33
Miss,0.33
"Fare (110, 120]",0.28
"Fare (160, 170]",0.19
"Fare (170, 220]",0.17
VIP,0.17
"Fare (220, 240]",0.13
"Fare (0, 10]",0.11
"Fare (270, 600]",0.07
"Fare (70, 80]",0.03
"Fare (20, 30]",0.01
"Fare (140, 150]",0.0
"Fare (250, 270]",-0.04
"Fare (60, 70]",-0.07
"Fare (30, 40]",-0.14
Queenstown,-0.17
"Fare (10, 20]",-0.23
Siblings and Spouses,-0.26
"Fare (150, 160]",-0.3
"Fare (240, 250]",-0.37
"Age (20, 28]",-0.44
"Age (28, 38]",-0.48
"Fare (100, 110]",-0.62
Cabin Class 2,-0.75
"Fare (40, 50]",-0.82
"Age (38, 80]",-0.99
Cabin Class 3,-2.02
